category,set_number,asin,title,price,stock,url
Star Wars,75372,B0CTTDSR79,"Lego Star Wars 75372 Clone Trooper & Battle Droid Battle Pack, 75359 Clone Trooper le 332ème Compagnie Battle Pack & 75345 501st Clone Troopers Battle Pack",72.39,Stock faible (4),https://www.amazon.fr/Trooper-Battle-332%C3%A8me-Compagnie-Troopers/dp/B0CTTDSR79/ref=sr_1_78?dib=eyJ2IjoiMSJ9.nRuJfwn11Sy53HxgJdSQx2QOX6TmxsrEiGTM9kVliVsWcPgJgiH1PwVVUJWweSQkhsvo-Dec__vqOk6ujOAeWRX9Fa0bJC7k2faV_yYPs4s-EJIrBzUJaGI7NWiSD3-TGEku53mSi96CjMFSZ_xYtOOU-KRfmKVv1JHH0w59qpbWLbiFM1NkHWPmrVe_67C1bUuBgPFxaRV5UGWgrunL9uBOvy_yc3Xt65cPU32KPvSl9OlsqwzU-pkkqBL5_23WJzT1-J5JRiPrV9bM2BttnwW2NbY5a70cJeRNuFGzCbA.Qp9wL3z3hgyEFStjJQsJp2m5gN-SFRhNxWrL5fnuvSQ&dib_tag=se&keywords=lego+star+wars&qid=1758913762&sr=8-78&xpid=sY1ev66lgG6_V
Star Wars,75312,B08WWTPDG2,"LEGO 75312 Star Wars Le Vaisseau de Boba Fett: Set avec 2 Figurines, Idéal pour Les Fans de La Saga Star Wars, Jouet pour Enfants de 9 Ans et Plus, Cadeau de Collection pour Fans de Boba Fett",76.07,Stock faible (1),https://www.amazon.fr/LEGO-75312-Star-Wars-Vaisseau/dp/B08WWTPDG2/ref=sr_1_79_mod_primary_new?dib=eyJ2IjoiMSJ9.nRuJfwn11Sy53HxgJdSQx2QOX6TmxsrEiGTM9kVliVsWcPgJgiH1PwVVUJWweSQkhsvo-Dec__vqOk6ujOAeWRX9Fa0bJC7k2faV_yYPs4s-EJIrBzUJaGI7NWiSD3-TGEku53mSi96CjMFSZ_xYtOOU-KRfmKVv1JHH0w59qpbWLbiFM1NkHWPmrVe_67C1bUuBgPFxaRV5UGWgrunL9uBOvy_yc3Xt65cPU32KPvSl9OlsqwzU-pkkqBL5_23WJzT1-J5JRiPrV9bM2BttnwW2NbY5a70cJeRNuFGzCbA.Qp9wL3z3hgyEFStjJQsJp2m5gN-SFRhNxWrL5fnuvSQ&dib_tag=se&keywords=lego+star+wars&qid=1758913762&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=8-79&xpid=sY1ev66lgG6_V
Star Wars,30278,B01A8X99SM,Jeux de construction Lego Star Wars Poe's X-Wing Fighter [30278],28.00,Stock faible (1),https://www.amazon.fr/Jeux-construction-X-Wing-Fighter-30278/dp/B01A8X99SM/ref=sr_1_81?dib=eyJ2IjoiMSJ9.nRuJfwn11Sy53HxgJdSQx2QOX6TmxsrEiGTM9kVliVsWcPgJgiH1PwVVUJWweSQkhsvo-Dec__vqOk6ujOAeWRX9Fa0bJC7k2faV_yYPs4s-EJIrBzUJaGI7NWiSD3-TGEku53mSi96CjMFSZ_xYtOOU-KRfmKVv1JHH0w59qpbWLbiFM1NkHWPmrVe_67C1bUuBgPFxaRV5UGWgrunL9uBOvy_yc3Xt65cPU32KPvSl9OlsqwzU-pkkqBL5_23WJzT1-J5JRiPrV9bM2BttnwW2NbY5a70cJeRNuFGzCbA.Qp9wL3z3hgyEFStjJQsJp2m5gN-SFRhNxWrL5fnuvSQ&dib_tag=se&keywords=lego+star+wars&qid=1758913762&sr=8-81&xpid=sY1ev66lgG6_V
Star Wars,75356,B0DHLDM7PG,"Lego Star Wars 75356 - Lego Star Destroyer Executor, Imperial Super Star Destroyer Set (Carrelage Imprimé)",119.99,Stock faible (2),https://www.amazon.fr/Lego-Star-Destroyer-d%C3%A9toiles-Interceptor/dp/B0DHLDM7PG/ref=sr_1_83?dib=eyJ2IjoiMSJ9.nRuJfwn11Sy53HxgJdSQx2QOX6TmxsrEiGTM9kVliVsWcPgJgiH1PwVVUJWweSQkhsvo-Dec__vqOk6ujOAeWRX9Fa0bJC7k2faV_yYPs4s-EJIrBzUJaGI7NWiSD3-TGEku53mSi96CjMFSZ_xYtOOU-KRfmKVv1JHH0w59qpbWLbiFM1NkHWPmrVe_67C1bUuBgPFxaRV5UGWgrunL9uBOvy_yc3Xt65cPU32KPvSl9OlsqwzU-pkkqBL5_23WJzT1-J5JRiPrV9bM2BttnwW2NbY5a70cJeRNuFGzCbA.Qp9wL3z3hgyEFStjJQsJp2m5gN-SFRhNxWrL5fnuvSQ&dib_tag=se&keywords=lego+star+wars&qid=1758913762&sr=8-83&xpid=sY1ev66lgG6_V
Star Wars,75332,B09QFVV1KR,"LEGO 75332 Star Wars at-St, Jeu de Construction, Marcheur, avec Minifigurines Scout Trooper, Ewok, Pistolets Blasters, Décoration Le Retour du Jedi",40.58,Stock faible (1),https://www.amazon.fr/LEGO-75332-Jouet-de-Construction/dp/B09QFVV1KR/ref=sr_1_86?dib=eyJ2IjoiMSJ9.nRuJfwn11Sy53HxgJdSQx2QOX6TmxsrEiGTM9kVliVsWcPgJgiH1PwVVUJWweSQkhsvo-Dec__vqOk6ujOAeWRX9Fa0bJC7k2faV_yYPs4s-EJIrBzUJaGI7NWiSD3-TGEku53mSi96CjMFSZ_xYtOOU-KRfmKVv1JHH0w59qpbWLbiFM1NkHWPmrVe_67C1bUuBgPFxaRV5UGWgrunL9uBOvy_yc3Xt65cPU32KPvSl9OlsqwzU-pkkqBL5_23WJzT1-J5JRiPrV9bM2BttnwW2NbY5a70cJeRNuFGzCbA.Qp9wL3z3hgyEFStjJQsJp2m5gN-SFRhNxWrL5fnuvSQ&dib_tag=se&keywords=lego+star+wars&qid=1758913762&sr=8-86&xpid=sY1ev66lgG6_V
Star Wars,75317,B084CKR6VP,"LEGO 75317 BrickHeadz Star Wars Le Mandalorien et l’Enfant, Jouet de Construction, Figurine Bébé Yoda, Idée Cadeau Garçons et Filles 10 Ans et Plus",34.31,Stock faible (8),https://www.amazon.fr/LEGO-Construction-Multicolore-Taille-Unique/dp/B084CKR6VP/ref=sr_1_87?dib=eyJ2IjoiMSJ9.nRuJfwn11Sy53HxgJdSQx2QOX6TmxsrEiGTM9kVliVsWcPgJgiH1PwVVUJWweSQkhsvo-Dec__vqOk6ujOAeWRX9Fa0bJC7k2faV_yYPs4s-EJIrBzUJaGI7NWiSD3-TGEku53mSi96CjMFSZ_xYtOOU-KRfmKVv1JHH0w59qpbWLbiFM1NkHWPmrVe_67C1bUuBgPFxaRV5UGWgrunL9uBOvy_yc3Xt65cPU32KPvSl9OlsqwzU-pkkqBL5_23WJzT1-J5JRiPrV9bM2BttnwW2NbY5a70cJeRNuFGzCbA.Qp9wL3z3hgyEFStjJQsJp2m5gN-SFRhNxWrL5fnuvSQ&dib_tag=se&keywords=lego+star+wars&qid=1758913762&sr=8-87&xpid=sY1ev66lgG6_V
Star Wars,75370,B0BV7DCMY5,"LEGO 75370 Star Wars Le Robot Stormtrooper, Maquette de Figurine à Construire avec Pièces Articulées, Minifigurine et Blaster Lance-Tenons, Jouet pour Enfants, Garçons et Filles Dès 6 Ans",29.99,Stock faible (6),https://www.amazon.fr/LEGO-75370-Stormtrooper-Minifigurine-Lance-Tenons/dp/B0BV7DCMY5/ref=sr_1_88_mod_primary_new?dib=eyJ2IjoiMSJ9.nRuJfwn11Sy53HxgJdSQx2QOX6TmxsrEiGTM9kVliVsWcPgJgiH1PwVVUJWweSQkhsvo-Dec__vqOk6ujOAeWRX9Fa0bJC7k2faV_yYPs4s-EJIrBzUJaGI7NWiSD3-TGEku53mSi96CjMFSZ_xYtOOU-KRfmKVv1JHH0w59qpbWLbiFM1NkHWPmrVe_67C1bUuBgPFxaRV5UGWgrunL9uBOvy_yc3Xt65cPU32KPvSl9OlsqwzU-pkkqBL5_23WJzT1-J5JRiPrV9bM2BttnwW2NbY5a70cJeRNuFGzCbA.Qp9wL3z3hgyEFStjJQsJp2m5gN-SFRhNxWrL5fnuvSQ&dib_tag=se&keywords=lego+star+wars&qid=1758913762&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=8-88&xpid=sY1ev66lgG6_V
Star Wars,75324,B09JKYR3CT,"LEGO Star Wars Dark Trooper Attack 75324 Building Kit; Fun, Buildable Toy Playset for Kids Aged 8 and up (166 Pieces)",53.52,Stock faible (4),https://www.amazon.fr/LEGO-Trooper-Building-Buildable-Playset/dp/B09JKYR3CT/ref=sr_1_94_mod_primary_new?dib=eyJ2IjoiMSJ9.nRuJfwn11Sy53HxgJdSQx2QOX6TmxsrEiGTM9kVliVsWcPgJgiH1PwVVUJWweSQkhsvo-Dec__vqOk6ujOAeWRX9Fa0bJC7k2faV_yYPs4s-EJIrBzUJaGI7NWiSD3-TGEku53mSi96CjMFSZ_xYtOOU-KRfmKVv1JHH0w59qpbWLbiFM1NkHWPmrVe_67C1bUuBgPFxaRV5UGWgrunL9uBOvy_yc3Xt65cPU32KPvSl9OlsqwzU-pkkqBL5_23WJzT1-J5JRiPrV9bM2BttnwW2NbY5a70cJeRNuFGzCbA.Qp9wL3z3hgyEFStjJQsJp2m5gN-SFRhNxWrL5fnuvSQ&dib_tag=se&keywords=lego+star+wars&qid=1758913762&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=8-94&xpid=sY1ev66lgG6_V
Star Wars,75358,B0BPCDVL8R,"LEGO Star Wars Le Temple Jedi de Tenoo, avec Maître Yoda, Sabres Laser, Figurine de Droïde et Speeder, Jouet de Construction pour Enfants, Garçons et Filles Dès 4 Ans 75358",27.62,Stock faible (15),https://www.amazon.fr/LEGO-75358-Figurine-Speeder-Construction/dp/B0BPCDVL8R/ref=sr_1_96?dib=eyJ2IjoiMSJ9.nRuJfwn11Sy53HxgJdSQx2QOX6TmxsrEiGTM9kVliVsWcPgJgiH1PwVVUJWweSQkhsvo-Dec__vqOk6ujOAeWRX9Fa0bJC7k2faV_yYPs4s-EJIrBzUJaGI7NWiSD3-TGEku53mSi96CjMFSZ_xYtOOU-KRfmKVv1JHH0w59qpbWLbiFM1NkHWPmrVe_67C1bUuBgPFxaRV5UGWgrunL9uBOvy_yc3Xt65cPU32KPvSl9OlsqwzU-pkkqBL5_23WJzT1-J5JRiPrV9bM2BttnwW2NbY5a70cJeRNuFGzCbA.Qp9wL3z3hgyEFStjJQsJp2m5gN-SFRhNxWrL5fnuvSQ&dib_tag=se&keywords=lego+star+wars&qid=1758913762&sr=8-96&xpid=sY1ev66lgG6_V
Harry Potter,76427,B0CWH1ZBTY,"LEGO Harry Potter Buck - Hippogriffe - Figurine de Créature Magique - Set pour Enfants à Collectionner - Idée de Cadeau pour Les Garçons, Les Filles et Les Fans à Partir de 9 Ans 76427",43.99,Stock faible (2),https://www.amazon.fr/LEGO-Harry-Potter-Buck-Collectionner/dp/B0CWH1ZBTY/ref=sr_1_28?dib=eyJ2IjoiMSJ9._4ohITTbnQYnptneYOSU-OxhryP17tEupHig3-oBQ4ZHGBBfGC79VgZDV6oZ6n3HSmlxrfbbwbzXV2rpoZREIN0SKLyUkThuC5Z9jna2rWlP_7nel5C_iXBABGxJczI_WZsDgYYG6t9RfYQeHQklJuXg2v7X_5W2g8Aq-xCRqoom5CN0lzvxNs13i9LP_xi3RemBn0UiFNoJiP01Wpgq7z00zKGWCH9Zd1jK4B5IHpyN_zKJ6e98aNAnvBBw_67iKU1UxVaq4Sy3qHBktl0TG1KiMD_rlfA2J4sqEIxRiO8.gBcI6gfx3b7g7U7-oZfkvO6nnLimfe_Ry8JnDP36EfM&dib_tag=se&keywords=lego+harry+potter&qid=1758913786&sr=8-28
